id,nome,id_departamento,salario,idade
218,Igor Rezende,2,7998.83,44
219,Felipe Silva,3,7371.34,27
220,Rafael Fernandes,4,11610.52,59
221,Vania Carvalho,99,22803.4,54
222,Marcos Castilho,2,22630.92,52
223,Yuri Azevedo,6,21748.2,29
224,Marcelo Lima,5,8453.95,26
225,Marcos Vasconcelos,4,3282.15,35
226,Yuri Bento,5,12783.1,58
227,Antonio Lins,5,3481.14,32
228,Sofia Fonseca,5,4843.15,55
229,Guilherme Borges,1,20045.18,60
230,Aline Sampaio,4,19890.96,42
231,Manuela Tavares,3,11484.22,39
232,Juliana Rezende,1,3785.99,57
233,Eliane Sales,2,19219.79,63
234,Bruno Diniz,3,14635.73,40
235,Lorenzo Guimaraes,5,12060.66,36
236,Paulo Lopes,5,12467.93,19
237,Yuri Pereira,1,4373.43,25
238,Nicolas Barbosa,5,10233.09,21
239,Marcelo Soares,3,9600.89,38
240,Laura Maldonado,6,7488.38,60
241,Antonella Lima,5,9682.82,63
242,Valentina Dias,2,6434.87,49
243,Laura Pires,4,22208.31,57
244,Clarice Santos,6,10847.36,22
245,Elaine Vasconcelos,1,14246.85,58
246,Caio Assis,6,17503.42,58
247,Fernanda Coutinho,3,9255.91,54
248,Davi Coelho,3,16145.38,53
249,Murilo Moraes,6,13978.48,31
250,Antonella Araujo,3,23247.03,46
251,Lorenzo Carvalho,3,21397.62,36
252,Elaine Martins,4,6223.75,25
253,Cecilia Tavares,4,8163.49,29
254,Sofia Pires,2,4740.61,19
255,Murilo Ribeiro,3,16628.12,61
256,Manuela Monteiro,6,22672.05,58
257,Luana Cunha,4,18027.92,41
258,Priscila Brandao,2,15189.4,53
259,Beatriz Campos,3,18304.99,39
260,Fernanda Brito,6,3674.21,54
261,Adriana Maffei,5,15489.71,62
262,Luiza Fonseca,5,10587.53,50
263,Lucas Amaral,6,8326.66,33
264,Laura Muniz,3,9902.77,36
265,Renata Lins,3,14386.23,31
266,Isabel Brito,3,23847.81,56
267,Lorenzo Lins,5,19933.61,38
268,Fernanda Barbosa,1,23572.95,30
269,Francisco Borges,4,5874.54,60
270,Otavio Ribeiro,4,24189.68,46
271,Isabela Alves,3,8902.65,59
272,Laura Oliveira,3,19395.67,22
273,Antonella Neves,3,16944.09,26
274,Mateus Azevedo,5,16729.91,64
275,Isabel Santiago,4,15059.54,50
276,Mateus Maffei,6,20483.15,63
277,Leticia Maldonado,1,24778.87,33
278,Adriana Bento,2,3302.26,34
279,Gabriel Carvalho,6,8378.76,33
280,Maite Azevedo,2,20533.67,41
281,Gabriela Motta,4,22842.33,63
282,Enzo Ferreira,3,21758.99,27
283,Sandra Lacerda,3,22603.97,27
284,Joaquim Nunes,3,9024.11,60
285,Marcos Campos,6,22863.28,21
286,Paulo Campos,6,22485.42,43
287,Yuri Cardoso,1,20652.73,26
288,Debora Moraes,5,9029.32,47
289,Matheus Santana,1,18506.99,35
290,Mariana Miranda,4,6203.33,23
291,Rafael Castro,6,16410.61,50
292,Amanda Toledo,6,20141.57,64
293,Arthur Lacerda,3,19045.07,39
294,Rodrigo Melo,4,16930.42,50
295,Leticia Chaves,5,19926.7,58
296,Antonio Muniz,6,24786.81,28
297,Otavio Brandao,1,3927.97,45
298,Carlos Lins,3,10374.96,64
299,Matheus Maldonado,5,3440.66,53
300,Helena Almeida,4,18478.23,41
301,Mariana Barros,3,10945.12,52
302,Isabela Diniz,1,16089.62,38
303,Fernanda Melo,1,12740.35,45
304,Mariana Ramos,6,21610.19,46
305,Paulo Santana,4,11866.31,43
306,Gabriela Menezes,5,6167.37,30
307,Joaquim Toledo,2,4464.12,25
308,Laura Garrido,1,14225.93,58
309,Enzo Machado,3,23189.95,47
310,Fabio Soares,6,21838.62,18
311,Nicolas Neto,1,3907.44,55
312,Vinicius Chaves,2,18750.62,44
313,Lucas Bento,6,22358.9,27
314,Aline Moura,3,24803.13,54
315,Antonio Pinheiro,1,3889.78,21
316,Aline Costa,4,7138.55,65
317,Nicolas Diniz,4,14170.21,49
318,Antonio Silva,4,7094.54,31
319,Yuri Santiago,1,21898.07,41
320,Elaine Tavares,5,5142.89,25
321,Sophia Neto,1,15480.1,44
322,Henrique Cavalcante,4,11963.2,18
323,Marcelo Machado,6,3864.1,22
324,Paulo Fernandes,2,19225.26,62
325,Gustavo Macedo,5,16497.76,58
326,Francisco Tavares,6,2534.29,52
327,Mariana Maffei,3,11109.18,65
328,Fabio Farias,1,8365.51,32
329,Carolina Pinheiro,2,7122.14,43
330,Davi Ramos,5,22978.95,45
331,Victor Cavalcante,4,15628.08,30
332,Douglas Castilho,2,10421.76,60
333,Leticia Batista,4,3360.57,31
334,Gabriela Pinto,3,15971.51,63
335,Heitor Gallo,3,11807.75,37
336,Igor Lacerda,2,6156.03,48
337,Renan Sales,4,9836.91,36
338,Camila Brito,6,9768.61,59
339,Valentina Muniz,99,4154.42,41
340,Juliana Miranda,6,10244.22,24
341,Joao Coelho,5,23884.85,50
342,Yuri Silva,6,18438.11,33
343,Beatriz Monteiro,4,23973.33,22
344,Vania Brito,6,2907.36,20
345,Mariana Brandao,3,21561.7,41
346,Heloisa Machado,4,9756.01,27
347,Bernardo Machado,1,21745.66,28
348,Laura Gallo,3,11207.2,41
349,Clarice Motta,1,3214.83,47
350,Adriana Cavalcanti,5,20254.99,56
351,Tiago Garrido,3,20441.14,30
352,Carolina Marques,6,16177.76,50
353,Vania Guimaraes,4,5018.01,57
354,Isabel Sales,4,10157.77,38
355,Joao Alves,2,23564.69,23
356,Carolina Oliveira,2,10786.05,46
357,Rodrigo Maldonado,6,2744.3,20
358,Miguel Coelho,1,22967.65,23
359,Eduardo Andrade,2,16890.42,63
360,Diego Viana,3,5526.97,39
361,Cecilia Assis,1,6865.54,18
362,Camila Almeida,3,20450.82,49
363,Carolina Marques,3,18023.7,21
364,Yasmin Ribeiro,1,17663.57,64
365,Luana Cruz,4,23783.48,23
366,Cecilia Gomes,2,14166.4,65
367,Antonella Monteiro,1,7696.31,20
368,Nicolas Araujo,4,24158.37,30
369,Miguel Menezes,4,14399.65,33
370,Luis Vasconcelos,1,21574.3,37
371,Rodrigo Nunes,2,9968.29,40
372,Ricardo Motta,6,5406.43,38
373,Otavio Porto,1,20639.62,65
374,Camila Rodrigues,4,13196.54,59
375,Enzo Rodrigues,1,13996.46,44
376,Maite Miranda,5,8774.24,22
377,Otavio Machado,4,24364.34,38
378,Isabela Cunha,6,19258.02,23
379,William Borges,3,18926.75,27
380,Gabriela Lima,4,12367.5,57
381,Sara Bento,4,10093.63,49
382,Lucas Ribeiro,2,4767.95,65
383,Michele Cruz,4,13665.39,63
384,Sofia Nogueira,2,10911.53,22
385,Yuri Maffei,4,20189.31,51
386,Maite Duarte,1,14349.8,38
387,Carlos Campos,2,11459.74,32
388,Rodrigo Motta,6,13026.97,50
389,Miguel Pinto,5,13654.3,34
390,Fabio Moraes,2,19069.93,38
391,Carolina Rocha,1,20947.72,29
392,Igor Maffei,3,6028.32,56
393,Samuel Teixeira,3,14081.86,58
394,Bruno Motta,3,24634.16,58
395,Francisco Duarte,4,15455.44,53
396,Alice Batista,4,16295.89,28
397,Julia Souza,3,19056.03,50
398,Marcelo Alves,1,21155.37,44
399,Ana Lopes,99,22042.26,28
400,Cecilia Freitas,6,11954.97,18
401,Gabriel Alves,3,4053.19,30
402,Heitor Motta,6,24881.47,58
403,Camila Guimaraes,2,24368.53,23
404,Patricia Martins,2,11810.1,24
405,Leticia Assis,1,6822.38,42
406,Guilherme Peixoto,6,12136.79,44
407,Ricardo Sampaio,5,19887.1,41
408,Rafaela Aguiar,5,17269.26,29
409,Carlos Coutinho,6,17682.19,26
410,Luana Lacerda,6,7115.92,63
411,Carlos Nascimento,3,21399.48,50
412,Luiz Leal,6,23267.19,32
413,Laura Vieira,6,20801.07,50
414,Aline Castilho,3,21868.09,56
415,Eliane Santana,4,2794.56,48
416,Henrique Neves,4,11821.55,34
417,Lucas Gallo,3,18032.63,37
418,Pedro Borges,4,19040.21,62
419,Eliane Farias,6,9154.36,29
420,Marcos Figueiredo,1,12925.77,34
421,Cecilia Campos,2,17324.11,49
422,Gustavo Muniz,6,6986.45,29
423,Sandra Ribeiro,1,15280.94,57
424,Debora Souza,4,20014.51,62
425,Gustavo Moreira,2,3193.1,22
426,Natalia Lacerda,3,9432.99,32
427,Amanda Santiago,6,8985.51,54
428,Isabela Pinheiro,4,4173.49,21
429,Antonio Fernandes,6,21596.94,52
430,Daniel Cunha,6,22312.15,50
431,Aline Cunha,3,9062.35,19
432,Debora Neto,1,20361.81,47
433,Debora Brandao,2,4240.98,20
434,Antonio Aguiar,3,9315.09,50
435,Julia Duarte,6,2799.96,27
436,Fabio Moura,1,17336.33,27
437,Helena Costa,2,22234.86,61
438,Antonella Souza,6,16321.83,48
439,Douglas Muniz,1,23997.95,49
440,Marcelo Toledo,5,18864.18,62
441,Fernanda Toledo,5,20109.25,49
442,Luiza Lima,3,8293.77,26
443,Sofia Santos,5,20486.84,56
444,Yasmin Rodrigues,2,21504.11,52
445,Rafael Araujo,1,21551.45,21
446,Elaine Cardoso,1,7183.0,36
447,Cecilia Lins,1,8691.86,58
448,Miguel Teixeira,4,6274.68,55
449,Felipe Assis,1,22734.25,56
450,Matheus Peixoto,6,8751.27,61
451,William Monteiro,2,9494.42,31
452,Antonella Marques,4,5895.42,39
453,Murilo Brandao,4,12158.89,65
454,Henrique Amaral,2,21073.91,49
455,Sophia Santiago,5,15272.96,23
456,Davi Rodrigues,5,21506.07,32
457,Elaine Pereira,3,22590.67,59
458,Vitor Dantas,6,13614.95,57
459,Pedro Barbosa,6,11501.88,50
460,Gustavo Brandao,1,9569.01,57
461,Carlos Martins,3,9308.95,48
462,Cecilia Moura,6,15738.33,27
463,Andre Cruz,3,23328.08,53
464,Douglas Teixeira,1,23650.97,24
465,Bruno Guimaraes,4,5533.3,57
466,Antonella Cardoso,5,11082.91,37
467,Elaine Costa,2,22698.33,44
468,Joaquim Pinheiro,6,18242.78,36
469,Caio Souza,4,16342.67,26
470,Amanda Maldonado,3,8232.55,37
471,Theo Neves,2,11557.25,24
472,Guilherme Muniz,2,11668.86,37
473,Sofia Moreira,4,12414.86,61
474,Elaine Ramos,6,13574.43,63
475,Antonella Santos,5,8701.06,35
476,Larissa Dantas,5,5017.06,63
477,Patricia Correia,4,10419.98,36
478,Marcelo Macedo,5,5339.22,49
479,Leticia Cruz,6,10743.06,39
480,Maite Miranda,4,9821.27,33
481,Debora Castilho,2,14876.01,63
482,Isabel Toledo,1,7102.11,48
483,Otavio Santana,4,22523.77,57
484,Pedro Vasconcelos,1,10791.24,25
485,Yasmin Maldonado,6,3883.4,23
486,Miguel Figueiredo,3,7036.97,43
487,Vania Muniz,3,6662.85,39
488,Yuri Guimaraes,1,18300.65,20
489,Clarice Fernandes,6,17568.05,61
490,Mariana Rezende,1,8734.56,49
491,Luiz Neves,6,3350.2,41
492,Alice Machado,3,9258.52,40
493,Aline Coelho,6,24485.11,24
494,Otavio Rocha,5,4939.29,62
495,Isabela Lins,4,4001.98,21
496,Adriana Monteiro,2,18797.04,65
497,Antonella Morais,5,12624.39,60
498,Thiago Chaves,6,3906.5,30
499,Juliana Macedo,4,22728.8,59
500,Heloisa Tavares,4,11670.11,46
501,Cecilia Rocha,1,23808.53,57
502,Sophia Pereira,2,21988.1,51
503,Leonardo Ramos,6,17902.8,42
504,Guilherme Andrade,6,13957.93,45
505,Maite Gallo,3,15881.14,54
506,Gustavo Moura,1,4224.85,53
507,Francisco Nunes,4,6755.78,23
508,Ana Pires,1,9517.96,47
509,Aline Coutinho,2,19797.58,18
510,Carlos Alves,1,3237.49,55
511,Miguel Pires,4,5670.65,30
512,Luis Queiroz,5,3754.03,34
513,Davi Carvalho,6,9819.35,49
514,Beatriz Leal,6,4125.44,27
515,Sophia Pinheiro,5,19503.57,31
516,Maria Santiago,3,20769.97,35
517,Aline Garrido,3,21212.95,41
518,Fernanda Toledo,4,16495.08,20
519,Rodrigo Maldonado,1,16441.12,38
520,Lucas Pinto,4,7220.27,26
521,Mariana Nunes,1,16881.48,28
522,Sandra Morais,2,7654.93,52
523,Rafaela Macedo,5,15817.17,37
524,Andre Dantas,6,16360.09,37
525,Felipe Pinheiro,4,22028.92,34
526,Matheus Andrade,2,20016.8,45
527,Rodrigo Monteiro,5,10095.66,21
528,Antonella Azevedo,1,22478.47,53
529,Mariana Santiago,6,18411.81,29
530,Aline Mendes,5,7650.25,53
531,Walter Monteiro,4,23496.41,33
532,Aline Campos,1,15732.4,47
533,Marcos Pereira,6,13506.89,46
534,Miguel Azevedo,2,19423.21,53
535,Lorenzo Guimaraes,3,16341.52,19
536,Isabela Ferreira,1,3969.16,23
537,Yuri Lins,2,3962.69,38
538,Antonella Correia,3,2831.83,41
539,Isabel Pinheiro,6,11508.11,19
540,Joaquim Ferreira,6,19804.47,30
541,Elaine Nogueira,2,7528.41,26
542,Isabela Maldonado,2,12120.87,37
543,Vania Farias,1,9912.11,24
544,Heloisa Garrido,2,7073.84,47
545,Paulo Alves,6,18550.03,19
546,Beatriz Cavalcante,1,20684.36,40
547,Antonio Rodrigues,3,15884.78,59
548,Marcos Queiroz,4,14576.94,33
549,Clarice Gomes,4,10311.51,57
550,Heitor Siqueira,5,6193.89,30
551,Samuel Costa,6,21716.39,64
552,Fabio Alves,5,11626.62,35
553,Thiago Gomes,5,12460.6,27
554,Valentina Vieira,3,23537.1,60
555,Luiza Motta,6,11993.39,63
556,Joao Andrade,5,18303.02,43
557,Maite Pinheiro,2,24681.62,42
558,Antonella Lacerda,6,19065.45,45
559,Murilo Porto,2,6018.67,38
560,Daniel Guimaraes,4,15527.48,39
561,Andre Guimaraes,1,18550.3,64
562,Bernardo Moreira,6,18723.54,65
563,Pedro Macedo,6,8643.2,64
564,Mateus Amaral,4,17735.13,22
565,Carolina Rocha,4,24479.81,44
566,Leonardo Queiroz,1,12399.97,37
567,Camila Leal,4,3040.93,28
568,Heloisa Marques,2,8372.51,25
569,Vinicius Mendes,1,5160.16,46
570,Michele Silva,2,11092.72,56
571,Eliane Correia,1,13756.83,21
572,Alice Chaves,3,11860.68,63
573,Heitor Reis,4,8644.52,55
574,Thiago Castilho,5,13544.57,25
575,Ana Santiago,6,18011.62,61
576,Gabriela Oliveira,1,14974.3,26
577,Marcelo Gomes,3,15114.97,21
578,Felipe Nogueira,6,10224.41,18
579,Thiago Cardoso,1,9195.96,34
580,Diego Siqueira,2,13556.21,35
581,Diego Peixoto,1,2798.08,63
582,Walter Dantas,4,8686.22,49
583,Fernanda Queiroz,6,6514.18,21
584,Miguel Vasconcelos,4,24220.49,54
585,Thiago Pires,4,20920.03,53
586,Gustavo Castilho,1,11956.98,51
587,Helena Gomes,2,4270.96,37
588,Andre Ferreira,2,19803.39,57
589,Murilo Duarte,3,17784.05,25
590,Helena Santana,1,18068.1,34
591,Caio Fernandes,3,20634.9,48
592,Lucas Farias,5,5496.2,58
593,Daniel Brandao,1,16066.83,21
594,Valentina Mendes,1,15626.95,51
595,Barbara Cunha,2,21763.08,63
596,Fernanda Guimaraes,6,14206.72,27
597,Guilherme Cavalcanti,2,24126.56,53
598,Walter Pinheiro,6,24745.58,52
599,Igor Correia,4,16416.57,59
600,Clarice Tavares,2,3298.15,63
601,Carlos Diniz,3,17700.46,39
602,Rafaela Moraes,1,15684.22,49
603,Yuri Cavalcante,6,11395.22,23
604,Valentina Carvalho,1,23304.57,63
605,Carolina Alves,1,12854.78,48
606,Clarice Lima,6,18474.28,53
607,Nicolas Vasconcelos,1,17590.53,30
608,Gabriel Farias,2,14333.2,25
609,Gabriel Porto,5,15113.63,44
610,Leticia Macedo,2,12497.0,63
611,Diego Peixoto,1,14585.19,22
612,Sandra Ribeiro,5,20148.96,33
613,Lorenzo Coelho,3,19042.02,20
614,Theo Brito,1,17427.26,34
615,Joaquim Silva,1,22217.72,28
616,Elaine Nogueira,6,15106.07,39
617,Murilo Pinheiro,5,11868.56,36
618,Isabel Machado,4,22465.89,30
619,Heloisa Lins,2,23618.04,54
620,Aline Vieira,2,2745.69,25
621,Barbara Correia,5,12584.6,61
622,Ricardo Guimaraes,5,21919.67,55
623,Miguel Rezende,4,11908.13,64
624,Patricia Dias,2,22237.17,29
625,Ricardo Machado,3,17825.81,27
626,Francisco Sampaio,5,2940.51,62
627,Antonio Lima,1,4113.75,53
628,Gabriel Santos,2,21647.36,29
629,Fernando Brito,2,23400.57,48
630,Camila Guedes,4,5591.94,64
631,Heitor Ribeiro,3,10958.02,36
632,Renan Miranda,5,6495.16,30
633,Samuel Guimaraes,5,12595.12,24
634,Paulo Neves,4,8584.07,45
635,Carlos Almeida,2,15558.21,50
636,Joaquim Cavalcanti,6,13270.53,60
637,Otavio Rezende,3,6844.61,50
638,Luiz Soares,2,21124.83,65
639,Maria Amaral,2,9726.15,35
640,Murilo Guedes,2,20962.96,41
641,Sara Barros,4,22504.48,54
642,Manuela Lacerda,2,13983.81,50
643,Valentina Maldonado,2,3528.28,52
644,Nicolas Lima,4,20461.85,32
645,Felipe Bento,1,12694.86,46
646,William Maldonado,4,14023.21,35
647,Luis Carvalho,4,18279.52,53
648,Pedro Reis,6,23424.49,44
649,Samuel Rezende,3,6438.8,47
650,Andre Guedes,1,20531.09,55
651,Otavio Ramos,6,13652.82,54
652,Vanessa Menezes,5,18638.4,56
653,Tiago Vasconcelos,4,16831.64,52
654,Laura Maldonado,1,22732.3,64
655,Ana Fernandes,1,13107.59,61
656,Thiago Tavares,1,13032.51,32
657,Camila Ramos,1,21239.41,45
658,William Rocha,4,24553.93,32
659,Ana Dias,6,5505.11,41
660,Henrique Rodrigues,2,22569.4,34
661,Bruno Cavalcanti,4,3469.71,51
662,Thiago Amaral,5,6727.16,36
663,Yasmin Castro,6,18696.48,56
664,Valentina Cavalcante,1,6981.04,38
665,Luiza Vieira,3,13007.53,37
666,Cecilia Santana,5,18456.5,48
667,Victor Macedo,3,20570.37,52
668,Ana Vasconcelos,1,24264.07,21
669,Matheus Andrade,3,17115.92,33
670,Manuela Correia,2,19988.32,28
671,Sofia Gomes,3,7199.63,52
672,Priscila Machado,4,14173.19,57
673,Maite Figueiredo,5,9408.31,23
674,Sophia Teixeira,2,4056.33,54
675,Gabriel Martins,1,21252.26,46
676,Camila Peixoto,3,23330.59,52
677,Joaquim Farias,5,24880.83,43
678,Sophia Pereira,5,23488.13,33
679,Fernando Neves,6,16226.5,35
680,Natalia Leal,5,7827.64,52
681,Vania Vasconcelos,1,2804.57,28
682,Marcos Castro,4,10857.4,50
683,Antonio Coutinho,6,20472.26,40
684,Guilherme Alves,6,8444.91,37
685,Clarice Dantas,1,24916.25,35
686,Lucas Rezende,6,3423.52,54
687,Renan Pinheiro,5,12597.87,58
688,Tiago Almeida,2,15721.8,20
689,Julia Brandao,1,14969.21,59
690,Rafaela Dias,3,17508.56,65
691,Andre Monteiro,4,15014.17,47
692,Juliana Nascimento,4,19484.02,40
693,Igor Miranda,3,11517.47,49
694,Vinicius Campos,3,2652.97,28
695,Debora Macedo,6,19012.06,41
